Inscritos no turno,Hora inÃ­cio da aula,Turma,Turno,Hora fim da aula,Curso,Unidade Curricular,LotaÃ§Ã£o da sala,Dia da semana,Sala atribuÃ­da Ã  aula,Data da aula
30,13:00:00,MEA1,01789TP01,14:30:00,ME,Teoria dos Jogos e dos Contratos,34,Sex,AA2.25,02/12/2022
30,13:00:00,MEA1,01789TP01,14:30:00,ME,Teoria dos Jogos e dos Contratos,34,Qua,AA2.25,23/11/2022
30,13:00:00,MEA1,01789TP01,14:30:00,ME,Teoria dos Jogos e dos Contratos,34,Qua,AA2.25,16/11/2022
30,13:00:00,MEA1,01789TP01,14:30:00,ME,Teoria dos Jogos e dos Contratos,34,Qua,AA2.25,09/11/2022
30,13:00:00,MEA1,01789TP01,14:30:00,ME,Teoria dos Jogos e dos Contratos,34,Qua,AA2.25,02/11/2022
30,13:00:00,MEA1,01789TP01,14:30:00,ME,Teoria dos Jogos e dos Contratos,34,Seg,AA2.25,28/11/2022
30,13:00:00,MEA1,01789TP01,14:30:00,ME,Teoria dos Jogos e dos Contratos,34,Seg,AA2.25,21/11/2022
30,13:00:00,MEA1,01789TP01,14:30:00,ME,Teoria dos Jogos e dos Contratos,34,Seg,AA2.25,14/11/2022
30,13:00:00,MEA1,01789TP01,14:30:00,ME,Teoria dos Jogos e dos Contratos,34,Seg,AA2.25,07/11/2022
30,13:00:00,MEA1,01789TP01,14:30:00,ME,Teoria dos Jogos e dos Contratos,34,Ter,AA2.25,29/11/2022
30,13:00:00,MEA1,01789TP01,14:30:00,ME,Teoria dos Jogos e dos Contratos,34,Ter,AA2.25,22/11/2022
30,13:00:00,MEA1,01789TP01,14:30:00,ME,Teoria dos Jogos e dos Contratos,34,Ter,AA2.25,15/11/2022
30,13:00:00,MEA1,01789TP01,14:30:00,ME,Teoria dos Jogos e dos Contratos,34,Ter,AA2.25,08/11/2022
30,10:30:00,MEA1,01789TP01,12:00:00,ME,Teoria dos Jogos e dos Contratos,30,Sex,AA2.26,04/11/2022
30,12:00:00,MEA1,01789TP01,13:30:00,ME,Teoria dos Jogos e dos Contratos,30,Sex,AA2.26,04/11/2022
30,14:30:00,MEA1,01789TP01,16:00:00,ME,Teoria dos Jogos e dos Contratos,34,Sex,AA2.25,02/12/2022
30,14:30:00,MEA1,01789TP01,16:00:00,ME,Teoria dos Jogos e dos Contratos,34,Seg,AA2.25,28/11/2022
30,14:30:00,MEA1,01789TP01,16:00:00,ME,Teoria dos Jogos e dos Contratos,34,Seg,AA2.25,21/11/2022
30,14:30:00,MEA1,01789TP01,16:00:00,ME,Teoria dos Jogos e dos Contratos,34,Seg,AA2.25,14/11/2022
30,14:30:00,MEA1,01789TP01,16:00:00,ME,Teoria dos Jogos e dos Contratos,34,Seg,AA2.25,07/11/2022
0,18:00:00,DHMCMG1,SP-I_(Piudhist)S01,20:00:00,PIUDHIST,SeminÃ¡rio de Projecto I (Piudhist),30,Seg,AA3.24,12/12/2022
0,18:00:00,DHMCMG1,SP-I_(Piudhist)S01,20:00:00,PIUDHIST,SeminÃ¡rio de Projecto I (Piudhist),30,Seg,AA3.24,05/12/2022
0,18:00:00,DHMCMG1,SP-I_(Piudhist)S01,20:00:00,PIUDHIST,SeminÃ¡rio de Projecto I (Piudhist),30,Seg,AA3.24,28/11/2022
0,18:00:00,DHMCMG1,SP-I_(Piudhist)S01,20:00:00,PIUDHIST,SeminÃ¡rio de Projecto I (Piudhist),30,Seg,AA3.24,21/11/2022
0,18:00:00,DHMCMG1,SP-I_(Piudhist)S01,20:00:00,PIUDHIST,SeminÃ¡rio de Projecto I (Piudhist),30,Seg,AA3.24,14/11/2022
0,18:00:00,DHMCMG1,SP-I_(Piudhist)S01,20:00:00,PIUDHIST,SeminÃ¡rio de Projecto I (Piudhist),50,Seg,AA2.23,07/11/2022
0,18:00:00,DHMCMG1,SP-I_(Piudhist)S01,20:00:00,PIUDHIST,SeminÃ¡rio de Projecto I (Piudhist),50,Seg,AA2.23,31/10/2022
0,18:00:00,DHMCMG1,SP-I_(Piudhist)S01,20:00:00,PIUDHIST,SeminÃ¡rio de Projecto I (Piudhist),50,Seg,AA2.23,24/10/2022
0,18:00:00,DHMCMG1,SP-I_(Piudhist)S01,20:00:00,PIUDHIST,SeminÃ¡rio de Projecto I (Piudhist),30,Seg,AA3.24,17/10/2022
0,18:00:00,DHMCMG1,SP-I_(Piudhist)S01,20:00:00,PIUDHIST,SeminÃ¡rio de Projecto I (Piudhist),30,Seg,AA3.24,10/10/2022
