Title,Description,Start Date,End Date
Desenvolvimento para A Internet e Aplicações Móveis - Development,"  for Internet and Mobile AppsSemestre: 2022/2023 - 2.º Semestre\nUnidade de execução: Dese nvolvimento para A Internet e Aplicações Móveis\nCódigo: 03728\nTurno: D IAMTP02\nInício: 2023-03-01 16:00\nFim: 2023-03-01 17:30\nDocente: Jorge  Manuel Anacleto Louçã\n\nSemester: 2022/2023 - 2.º Semestre\nExecution  course: Development for Internet and Mobile Apps\nCode: 03728\nShift: DI AMTP02\nBegin: 2023-03-01 16:00\nEnd: 2023-03-01 17:30\nTeacher: Jorge M anuel Anacleto Louçã\n\nLOCATION:D1.07\, 1\, Edifício II (ISCTE-IUL)\, ISCTE-IUL",Wed Mar 01 16:00:00 GMT 2023,Wed Mar 01 17:30:00 GMT 2023
Desenvolvimento para A Internet e Aplicações Móveis - Development,"  for Internet and Mobile AppsSemestre: 2022/2023 - 2.º Semestre\nUnidade de execução: Dese nvolvimento para A Internet e Aplicações Móveis\nCódigo: 03728\nTurno: D IAMTP02\nInício: 2023-05-12 14:30\nFim: 2023-05-12 16:00\nDocente: Jorge  Manuel Anacleto Louçã\n\nSemester: 2022/2023 - 2.º Semestre\nExecution  course: Development for Internet and Mobile Apps\nCode: 03728\nShift: DI AMTP02\nBegin: 2023-05-12 14:30\nEnd: 2023-05-12 16:00\nTeacher: Jorge M anuel Anacleto Louçã\n\nLOCATION:D1.05\, 1\, Edifício II (ISCTE-IUL)\, ISCTE-IUL",Fri May 12 13:30:00 BST 2023,Fri May 12 15:00:00 BST 2023
Agentes Autónomos - Autonomous Agents,"Semestre: 2022/2023 - 1.º Semestre\nUnidade de execução: Agen tes Autónomos\nCódigo: 03727\nTurno: 03727T02\nInício: 2022-10-24 13:00\ nFim: 2022-10-24 14:30\nDocente: Luís Miguel Pina Coelho Teixeira Botelh o\n\nSemester: 2022/2023 - 1.º Semestre\nExecution course: Autonomous Ag ents\nCode: 03727\nShift: 03727T02\nBegin: 2022-10-24 13:00\nEnd: 2022-1 0-24 14:30\nTeacher: Luís Miguel Pina Coelho Teixeira Botelho\n\nLOCATION:Auditório B1.03\, 1\, Edifício II (ISCTE-IUL)\, ISCTE-IUL",Mon Oct 24 12:00:00 BST 2022,Mon Oct 24 13:30:00 BST 2022
Introdução à Ciência de Dados - Introduction to Data Science,"Semestre: 2022/2023 - 1.º Semestre\nUnidade de execução: Intr odução à Ciência de Dados\nCódigo: 03583\nTurno: 03583TP04\nInício: 2022 -11-02 18:00\nFim: 2022-11-02 19:30\nDocente: Ana Maria Carvalho de Alme ida\n\nSemester: 2022/2023 - 1.º Semestre\nExecution course: Introductio n to Data Science\nCode: 03583\nShift: 03583TP04\nBegin: 2022-11-02 18:0 0\nEnd: 2022-11-02 19:30\nTeacher: Ana Maria Carvalho de Almeida\n\nLOCATION:D1.02\, 1\, Edifício II (ISCTE-IUL)\, ISCTE-IUL",Wed Nov 02 18:00:00 GMT 2022,Wed Nov 02 19:30:00 GMT 2022
Desenvolvimento para A Internet e Aplicações Móveis - Development,"  for Internet and Mobile AppsSemestre: 2022/2023 - 2.º Semestre\nUnidade de execução: Dese nvolvimento para A Internet e Aplicações Móveis\nCódigo: 03728\nTurno: D IAMTP02\nInício: 2023-04-21 13:00\nFim: 2023-04-21 14:30\nDocente: Jorge  Manuel Anacleto Louçã\n\nSemester: 2022/2023 - 2.º Semestre\nExecution  course: Development for Internet and Mobile Apps\nCode: 03728\nShift: DI AMTP02\nBegin: 2023-04-21 13:00\nEnd: 2023-04-21 14:30\nTeacher: Jorge M anuel Anacleto Louçã\n\nLOCATION:D1.05\, 1\, Edifício II (ISCTE-IUL)\, ISCTE-IUL",Fri Apr 21 12:00:00 BST 2023,Fri Apr 21 13:30:00 BST 2023
Projeto de Integração de Sistemas de Informação Distribuídos - Di," stributed Information Systems Integration ProjectSemestre: 2022/2023 - 2.º Semestre\nUnidade de execução: Proj eto de Integração de Sistemas de Informação Distribuídos\nCódigo: 03729\ nTurno: PISIDPL05\nInício: 2023-03-16 16:00\nFim: 2023-03-16 17:30\nDoce nte: Pedro de Paula Nogueira Ramos\n\nSemester: 2022/2023 - 2.º Semestre \nExecution course: Distributed Information Systems Integration Project\ nCode: 03729\nShift: PISIDPL05\nBegin: 2023-03-16 16:00\nEnd: 2023-03-16  17:30\nTeacher: Pedro de Paula Nogueira Ramos\n\nLOCATION:D1.11\, 1\, Edifício II (ISCTE-IUL)\, ISCTE-IUL",Thu Mar 16 16:00:00 GMT 2023,Thu Mar 16 17:30:00 GMT 2023
Engenharia de Software - Software Engineering,"Semestre: 2022/2023 - 2.º Semestre\nUnidade de execução: Enge nharia de Software\nCódigo: 03712\nTurno: EngST01\nInício: 2023-04-17 13 :00\nFim: 2023-04-17 14:30\nDocente: Vítor Manuel Basto Fernandes\n\nSem ester: 2022/2023 - 2.º Semestre\nExecution course: Software Engineering\ nCode: 03712\nShift: EngST01\nBegin: 2023-04-17 13:00\nEnd: 2023-04-17 1 4:30\nTeacher: Vítor Manuel Basto Fernandes\n\nLOCATION:Auditório 0NE02-Caiano Pereira\, 0\, Edifício Sedas Nunes (ISCTE -IUL)\, ISCTE-IUL",Mon Apr 17 12:00:00 BST 2023,Mon Apr 17 13:30:00 BST 2023
Interacção Pessoa-Máquina - Human-Computer Interaction,"Semestre: 2022/2023 - 2.º Semestre\nUnidade de execução: Inte racção Pessoa-Máquina\nCódigo: L5316\nTurno: L5316TP04\nInício: 2023-04- 12 13:00\nFim: 2023-04-12 14:30\nDocente: Pedro Figueiredo Santana\n\nSe mester: 2022/2023 - 2.º Semestre\nExecution course: Human-Computer Inter action\nCode: L5316\nShift: L5316TP04\nBegin: 2023-04-12 13:00\nEnd: 202 3-04-12 14:30\nTeacher: Pedro Figueiredo Santana\n\nLOCATION:C2.02\, 2\, Edifício II (ISCTE-IUL)\, ISCTE-IUL",Wed Apr 12 12:00:00 BST 2023,Wed Apr 12 13:30:00 BST 2023
Processamento de Informação - Information Processing,"Semestre: 2022/2023 - 1.º Semestre\nUnidade de execução: Proc essamento de Informação\nCódigo: L0779\nTurno: L0779TP02\nInício: 2022-1 1-11 16:00\nFim: 2022-11-11 17:30\nDocente: Pedro Joaquim Amaro Sebastiã o\n\nSemester: 2022/2023 - 1.º Semestre\nExecution course: Information P rocessing\nCode: L0779\nShift: L0779TP02\nBegin: 2022-11-11 16:00\nEnd:  2022-11-11 17:30\nTeacher: Pedro Joaquim Amaro Sebastião\n\nLOCATION:Auditório 1\, 1\, Edifício Sedas Nunes (ISCTE-IUL)\, ISCTE-IUL",Fri Nov 11 16:00:00 GMT 2022,Fri Nov 11 17:30:00 GMT 2022
Projeto de Integração de Sistemas de Informação Distribuídos - Di," stributed Information Systems Integration ProjectSemestre: 2022/2023 - 2.º Semestre\nUnidade de execução: Proj eto de Integração de Sistemas de Informação Distribuídos\nCódigo: 03729\ nTurno: PISIDT01\nInício: 2023-03-13 14:30\nFim: 2023-03-13 16:00\nDocen te: Pedro de Paula Nogueira Ramos\n\nSemester: 2022/2023 - 2.º Semestre\ nExecution course: Distributed Information Systems Integration Project\n Code: 03729\nShift: PISIDT01\nBegin: 2023-03-13 14:30\nEnd: 2023-03-13 1 6:00\nTeacher: Pedro de Paula Nogueira Ramos\n\nLOCATION:Auditório B1.04\, 1\, Edifício II (ISCTE-IUL)\, ISCTE-IUL",Mon Mar 13 14:30:00 GMT 2023,Mon Mar 13 16:00:00 GMT 2023
